precinct,2009,2010,2011,2012,2013,total
73rd Precinct ,251 ,230 ,212 ,205 ,161 ,1059
75th Precinct ,356 ,330 ,347 ,286 ,266 ,1585
77th Precinct ,160 ,173 ,159 ,107 ,120 ,719
79th Precinct ,219 ,163 ,135 ,161 ,184 ,862
81st Precinct ,125 ,142 ,126 ,97 ,106 ,596
83rd Precinct ,143 ,103 ,102 ,119 ,87 ,554
84th Precinct ,72 ,60 ,51 ,47 ,64 ,294
88th Precinct ,60 ,66 ,41 ,51 ,41 ,259
90th Precinct ,82 ,78 ,67 ,68 ,51 ,346
94th Precinct ,37 ,23 ,25 ,33 ,29 ,147
Brooklyn North Total ,1505 ,1368 ,1265 ,1174 ,1109 ,6421
Brooklyn Total ,2560 ,2213 ,2010 ,1954 ,1835 ,10572
