type_of_abuse_of_authority_allegation, 2009_number, 2009_percent, 2010_number, 2010_percent, 2011_number, 2011_percent, 2012_number, 2012_percent, 2013_number, 2013_percent
Vehicle search ,529 ,5.0 ,479 ,5.5 ,401 ,5.0 ,473 ,6.0 ,533 ,6.5
Strip search ,236 ,2.2 ,217 ,2.5 ,233 ,2.9 ,237 ,3.0 ,258 ,3.1
Vehicle stop ,485 ,4.6 ,341 ,3.9 ,309 ,3.9 ,327 ,4.2 ,494 ,6.0
Gun drawn ,155 ,1.5 ,155 ,1.8 ,118 ,1.5 ,121 ,1.5 ,123 ,1.5
Premises entered or searched ,880 ,8.3 ,740 ,8.5 ,735 ,9.2 ,818 ,10.4 ,823 ,10.0
Threat to notify ACS ,49 ,0.5 ,55 ,0.6 ,54 ,0.7 ,34 ,0.4 ,42 ,0.5
Threat of force ,709 ,6.7 ,579 ,6.7 ,514 ,6.5 ,519 ,6.6 ,452 ,5.5
Seizure of property ,82 ,0.8 ,41 ,0.5 ,36 ,0.5 ,30 ,0.4 ,74 ,0.9
Threat to damage/seize property ,81 ,0.8 ,47 ,0.5 ,52 ,0.7 ,60 ,0.8 ,74 ,0.9
Threat of arrest ,1054 ,10.0 ,766 ,8.8 ,722 ,9.1 ,706 ,9.0 ,730 ,8.9
Threat of summons ,74 ,0.7 ,61 ,0.7 ,33 ,0.4 ,41 ,0.5 ,49 ,0.6
Property damaged ,297 ,2.8 ,179 ,2.1 ,136 ,1.7 ,213 ,2.7 ,255 ,3.1
Refusal to process civilian complaint ,118 ,1.1 ,61 ,0.7 ,92 ,1.2 ,84 ,1.1 ,68 ,0.8
Refusal to provide name and/or shield number ,1009 ,9.6 ,913 ,10.5 ,773 ,9.7 ,762 ,9.7 ,733 ,8.9
Retaliatory arrest ,16 ,0.2 ,12 ,0.1 ,14 ,0.2 ,3 ,0.0 ,7 ,0.1
Retaliatory summons ,49 ,0.5 ,40 ,0.5 ,34 ,0.4 ,23 ,0.3 ,44 ,0.5
Refusal to obtain medical treatment ,168 ,1.6 ,142 ,1.6 ,142 ,1.8 ,152 ,1.9 ,234 ,2.9
Improper dissemination of medical information ,2 ,0.0 ,0 ,0.0 ,1 ,0.0 ,0 ,0.0 ,0 ,0.0
Refusal to show search warrant ,75 ,0.7 ,57 ,0.7 ,45 ,0.6 ,64 ,0.8 ,74 ,0.9
Other (Abuse) ,94 ,0.9 ,54 ,0.6 ,40 ,0.5 ,38 ,0.5 ,42 ,0.5
Frisk ,727 ,6.9 ,671 ,7.7 ,704 ,8.9 ,657 ,8.4 ,637 ,7.8
Search (of person) ,1418 ,13.4 ,1290 ,14.9 ,1135 ,14.3 ,1038 ,13.2 ,953 ,11.6
Stop ,1857 ,17.6 ,1555 ,17.9 ,1444 ,18.2 ,1292 ,16.4 ,1270 ,15.5
Question ,385 ,3.6 ,223 ,2.6 ,186 ,2.3 ,168 ,2.1 ,235 ,2.9
Total ,10549 ,100 ,8678 ,100 ,7953 ,100 ,7860 ,100 ,8204 ,100
