precinct,2009,2010,2011,2012,2013,total
19th Precinct ,3 ,2 ,2 ,2 ,0 ,9
20th Precinct ,1 ,1 ,1 ,3 ,0 ,6
23rd Precinct ,3 ,9 ,3 ,4 ,8 ,27
24th Precinct ,2 ,1 ,0 ,1 ,5 ,9
25th Precinct ,6 ,5 ,9 ,8 ,4 ,32
26th Precinct ,1 ,2 ,1 ,2 ,2 ,8
Central Park ,0 ,0 ,1 ,1 ,0 ,2
28th Precinct ,3 ,5 ,0 ,3 ,3 ,14
30th Precinct ,0 ,3 ,2 ,1 ,4 ,10
32nd Precinct ,5 ,10 ,4 ,3 ,8 ,30
33rd Precinct ,4 ,0 ,0 ,2 ,1 ,7
34th Precinct ,3 ,7 ,3 ,1 ,3 ,17
Manhattan North Total ,31 ,45 ,26 ,31 ,38 ,171
Manhattan Total ,47 ,61 ,33 ,44 ,62 ,185
Percentage of Citywide Substantiated Complaints ,21.8% ,37.9% ,16.8% ,27.5% ,36.9% ,25.2%
