precinct,2009,2010,2011,2012,2013,total
40th Precinct ,2 ,7 ,6 ,4 ,11 ,30
41st Precinct ,3 ,3 ,2 ,4 ,6 ,18
42nd Precinct ,3 ,6 ,4 ,4 ,3 ,20
43rd Precinct ,8 ,7 ,4 ,9 ,5 ,33
44th Precinct ,7 ,13 ,11 ,10 ,10 ,51
45th Precinct ,3 ,4 ,0 ,1 ,2 ,10
46th Precinct ,12 ,12 ,3 ,15 ,10 ,52
47th Precicnt ,7 ,6 ,5 ,7 ,3 ,28
48th Precinct ,7 ,4 ,2 ,4 ,3 ,20
49th Precinct ,4 ,6 ,2 ,1 ,1 ,14
50th Precinct ,2 ,2 ,0 ,3 ,2 ,9
52nd Precinct ,5 ,7 ,6 ,2 ,12 ,32
Bronx Total ,63 ,77 ,45 ,64 ,68 ,317
Percentage of Citywide Substantiated Complaints ,29.2% ,47.8% ,22.8% ,40.0% ,40.5% ,43.2%
